"","Fit","Data","Iteration DKW","Iteration KS","Iteration Convergence","loglik DKW","Loglik ks","loglik convergence","initial loglik","Average point dist DKW final","Average point dist DKW final","Average point value","Time -1 state","Iterations -1 state","loglik initial -1 state","loglik conv -1 state","in ks initial -1 state","in ks conv -1 state","in ks initial","in ks conv"
"11","10d"," multimodal_100obs.csv&1","1","1","7","-9.96919633572315","-9.96919633572315","-9.89537831525545","-9.99254060755269","0.00089451673941267","0.00089451673941267","0.516000485525942","1.98139810562134","332","-27.346253327005","-9.95972125832326","0.8863","1","1","1"
"12","20d"," multimodal_100obs.csv&1","1","1","53","1.64054797042149","1.64054797042149","4.00193450703481","1.26497350934943","0.00125702778453574","0.00125702778453574","0.507862333765301","21.6472370624542","950","-27.8323072608722","3.71146185855663","0.8814","1","1","1"
"13","2d"," multimodal_10obs.csv&1","1","1","1","0.102492399761785","0.102492399761785","0.102492399761785","0.102236222477714","0","0","0.542352562271875","0.00216889381408691","1","0.1062904245022","0.115655591411106","1","1","1","1"
"14","5d"," multimodal_10obs.csv&1","1","1","1","0.424723468045291","0.424723468045291","0.424723468045291","0.420277771593965","0","0","0.526403098407297","0.0587809085845947","30","0.0478466101575943","0.470149826179417","1","1","1","1"
"15","10d"," multimodal_10obs.csv&1","1","1","1","0.427353054304774","0.427353054304774","0.427353054304774","0.417840785979467","0","0","0.526890750441316","0.0460031032562256","16","0.136371484205832","0.405194866827164","1","1","1","1"
"16","20d"," multimodal_10obs.csv&1","1","1","1","0.115665960236512","0.115665960236512","0.115665960236512","0.112372012389059","0","0","0.540942889554249","0.00889706611633301","1","0.100935174631136","0.105514329387527","1","1","1","1"
"17","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2d","exp_rate1_1000obs.csv&1","1","1","1","-1004.83567669062","-1004.83567669062","-1004.83567669062","-1004.83699522322","0","0","0.500743616818061","0.0173380374908447","1","-1005.0775785386","-1005.06889719764","1","1","1","1"
"22","5d","exp_rate1_1000obs.csv&1","1","1","1","-1005.02339899098","-1005.02339899098","-1005.02339899098","-1005.03334891363","0","0","0.504001163845745","0.544028997421265","24","-1007.49591602283","-1005.020286311","1","1","1","1"
"23","10d","exp_rate1_1000obs.csv&1","1","1","1","-1004.80003193278","-1004.80003193278","-1004.80003193278","-1004.80376856144","0","0","0.503354426167353","0.375502109527588","10","-1004.97888462144","-1004.80645453787","1","1","1","1"
"24","20d","exp_rate1_1000obs.csv&1","1","1","1","-1004.69838775102","-1004.69838775102","-1004.69838775102","-1004.70513650848","0","0","0.503638396061389","0.109640121459961","1","-1004.76089520984","-1004.75092531395","1","1","1","1"
"25","2d","exp_rate1_100obs.csv&1","1","1","3","-104.733642208452","-104.733642208452","-104.712163833471","-104.74694621511","0.000406036045089508","0.000406036045089508","0.513048895656817","0.0358479022979736","12","-104.833570276389","-104.613916005601","1","1","1","1"
"26","5d","exp_rate1_100obs.csv&1","1","1","1","-104.401607825521","-104.401607825521","-104.401607825521","-104.405926316384","0","0","0.506400345059409","0.0472500324249268","13","-104.664152092642","-104.415603462199","1","1","1","1"
"27","10d","exp_rate1_100obs.csv&1","1","1","1","-104.562346461077","-104.562346461077","-104.562346461077","-104.564627028729","0","0","0.509630494497048","0.00819492340087891","1","-104.562806008321","-104.560835205519","1","1","1","1"
"28","20d","exp_rate1_100obs.csv&1","1","1","1","-104.648152900016","-104.648152900016","-104.648152900016","-104.649809945268","0","0","0.513076468088844","0.0456819534301758","1","-104.656172911775","-104.653984620416","1","1","1","1"
"29","2d","exp_rate1_10obs.csv&1","1","1","5","-8.77709756095478","-8.77709756095478","-8.73229194408504","-8.79198624637074","0.00196262993312434","0.00196262993312434","0.508330449847004","0.0337479114532471","19","-8.9474750343386","-8.69600156392989","1","1","1","1"
"30","5d","exp_rate1_10obs.csv&1","1","1","4","-8.52482513917719","-8.52482513917719","-8.48515876015515","-8.55311266617426","0.00959449334285193","0.00959449334285193","0.52056127633245","0.0290360450744629","12","-8.95061881630289","-8.52425089679894","1","1","1","1"
"31","10d","exp_rate1_10obs.csv&1","1","1","1","-8.64760205291935","-8.64760205291935","-8.64760205291935","-8.65499412870048","0","0","0.511744311360346","0.0829131603240967","20","-9.09058913941648","-8.65724258363121","1","1","1","1"
"32","20d","exp_rate1_10obs.csv&1","1","1","1","-9.05088347166933","-9.05088347166933","-9.05088347166933","-9.0550067230619","0","0","0.477568593504272","0.0213010311126709","1","-9.05957567243147","-9.05536409655796","1","1","1","1"
"33","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2d","ln_1000obs.csv&1",NA,NA,"1",NA,NA,"-620.058713242729","-620.059979741814","0.591407752350801","0.591407752350801","0.591407752350801","0.725107908248901","40","-1003.81372311576","-408.478186195992","0.0556","0.055","0.054","0.054"
"38","5d","ln_1000obs.csv&1",NA,NA,"1",NA,NA,"-151.611483027982","-151.612818134127","0.555346223413563","0.555346223413563","0.555346223413563","3.24067687988281","153","-944.280774728528","-62.523038847333","0.0551","0.056","0.0539","0.0539"
"39","10d","ln_1000obs.csv&1",NA,NA,"64",NA,NA,"130.407041217413","106.307907801477","0.538781289612055","0.538781289612055","0.538781289612055","11.5687568187714","312","-987.388710969296","130.404558944812","0.0552","0.0564","0.0555","0.0564"
"40","20d","ln_1000obs.csv&1",NA,NA,"35",NA,NA,"438.568192363968","437.84128507001","0.523616669385136","0.523616669385136","0.523616669385136","1.18949086666107","743","-995.880197399158","438.486394574079","0.0552","0.0724","0.0721","0.0725"
"41","2d","ln_100obs.csv&1",NA,NA,"1",NA,NA,"-61.1772719614519","-61.1772573175933","0.591638991073972","0.591638991073972","0.591638991073972","0.163611888885498","51","-93.7537603759365","-39.9913354512499","0.2394","0.2048","0.2102","0.2102"
"42","5d","ln_100obs.csv&1",NA,NA,"1",NA,NA,"-14.2229199215262","-14.2259701311294","0.555752403147755","0.555752403147755","0.555752403147755","0.525771141052246","147","-89.3736974168214","-5.30395350040113","0.2415","0.2212","0.2073","0.2073"
"43","10d","ln_100obs.csv&1",NA,NA,"37",NA,NA,"18.9799656845291","17.3678644994258","0.536869336649584","0.536869336649584","0.536869336649584","2.21479916572571","333","-97.5239794337482","19.009648326245","0.242","0.2873","0.2811","0.2872"
"44","20d","ln_100obs.csv&1",NA,NA,"33",NA,NA,"40.2354566151254","39.6032338420017","0.526752080879607","0.526752080879607","0.526752080879607","11.9424819946289","537","-99.1486472150919","40.1446861612082","0.242","0.4972","0.4888","0.4989"
"45","2d","ln_10obs.csv&1","1","1","1","-5.53728958854914","-5.53728958854914","-5.53728958854914","-5.53891698565449","0","0","0.592373331722794","0.0481770038604736","28","-8.7318480841292","-3.4206982413068","1","1","1","1"
"46","5d","ln_10obs.csv&1","1","1","1","-0.802731064704813","-0.802731064704813","-0.802731064704813","-0.804362219965832","0","0","0.556828307071797","0.164839029312134","80","-8.97477452017489","0.0535932276784185","1","1","1","1"
"47","10d","ln_10obs.csv&1","1","1","1","2.52149237370035","2.52149237370035","2.52149237370035","2.51428286618303","0","0","0.53828534948051","0.661404132843018","179","-9.07730029116137","2.92912475831503","1","1","1","1"
"48","20d","ln_10obs.csv&1","1","1","126","2.58447927248434","2.58447927248434","4.38436110811794","2.56119939843391","0.0173032338199021","0.0173032338199021","0.529106742711548","1.83586382865906","174","-9.26905067143691","2.69500432264678","1","1","1","1"
"49","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2d","pareto_1000obs.csv&1",NA,NA,"14",NA,NA,"-2484.92557382809","-2548.39219800471","0.528240995601933","0.528240995601933","0.528240995601933","1.37438702583313","70","-2734.78729881281","-2332.8455159246","0.9542","0.9934","0.9954","0.9896"
"54","5d","pareto_1000obs.csv&1",NA,NA,"35",NA,NA,"-2235.80780210982","-2253.33081670382","0.489650130706074","0.489650130706074","0.489650130706074","42.5207300186157","1098","-2738.86915774627","-2209.31838764429","0.9544","0.9959","0.9988","0.995"
"55","10d","pareto_1000obs.csv&1",NA,NA,"111",NA,NA,"-2172.29344494468","-2175.39931054384","0.486596104689912","0.486596104689912","0.486596104689912","4.36497361660004","1537","-2746.11735622369","-2172.7431480399","0.9542","0.9983","0.9989","0.9982"
"56","20d","pareto_1000obs.csv&1",NA,NA,"201",NA,NA,"-2541.13174817161","-2543.66811547926","0.343961238398535","0.343961238398535","0.343961238398535","1.64306056221326","4661","-2738.00478013042","-2542.56080471823","0.9544","0.9596","0.9596","0.9596"
"57","2d","pareto_100obs.csv&1",NA,NA,"18",NA,NA,"-249.309681004595","-257.274872516624","0.521088914888201","0.521088914888201","0.521088914888201","0.390850067138672","81","-266.614113815419","-234.307976519403","0.9454","0.9977","0.991","0.9964"
"58","5d","pareto_100obs.csv&1","1","1","7","-221.510076186578","-221.510076186578","-221.434908108162","-221.530667739986","0.000583807476161373","0.000583807476161373","0.49718489854198","2.89968681335449","364","-265.636241203448","-221.490291938813","0.9449","1","1","1"
"59","10d","pareto_100obs.csv&1",NA,NA,"25",NA,NA,"-257.615801477124","-257.991324117604","0.378746723249922","0.378746723249922","0.378746723249922","8.4360888004303","193","-266.973185216254","-257.747623421974","0.9451","0.9407","0.9408","0.9407"
"60","20d","pareto_100obs.csv&1",NA,NA,"6",NA,NA,"-257.958210756712","-258.020027637913","0.382067676916636","0.382067676916636","0.382067676916636","2.01212474902471","306","-266.188462830891","-257.973942860613","0.9451","0.9409","0.9409","0.9409"
"61","2d","pareto_10obs.csv&1","1","1","22","-24.5805601370721","-24.5805601370721","-23.9835800206241","-24.6210288888493","0.032177905343069","0.032177905343069","0.467755059713572","0.0843479633331299","39","-24.839028094816","-24.02602937269","1","1","1","1"
"62","5d","pareto_10obs.csv&1","1","1","9","-23.9871776187987","-23.9871776187987","-23.8343572304542","-24.0344198314875","0.00897110048191951","0.00897110048191951","0.461992065585973","0.119589805603027","43","-24.7503080910575","-23.8931529275793","1","1","1","1"
"63","10d","pareto_10obs.csv&1","1","1","12","-23.9217433724774","-23.9217433724774","-23.7840840847152","-23.939526582303","0.00825784617785368","0.00825784617785368","0.467428500070257","0.754959106445312","79","-24.7261016804003","-23.8565432434664","1","1","1","1"
"64","20d","pareto_10obs.csv&1","1","1","1","-24.781369903416","-24.781369903416","-24.781369903416","-24.7851246297782","0","0","0.501975643274339","0.104136943817139","1","-24.8015197442051","-24.7969988806403","1","1","1","1"
"65","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2d","ph10_1000obs.csv&1","1","1","33","-1517.42906296986","-1517.42906296986","-1516.90503276993","-1517.45870720386","0.00218984732324992","0.00218984732324992","0.496595615934536","0.554280996322632","29","-1539.46804534218","-1516.68707866901","0.9411","1","1","1"
"70","5d","ph10_1000obs.csv&1","1","1","15","-1516.31497882893","-1516.31497882893","-1516.01752538422","-1516.3599172882","0.00221686477630509","0.00221686477630509","0.49931795029369","0.122941017150879","6","-1516.04667152087","-1515.96972361467","1","1","1","1"
"71","10d","ph10_1000obs.csv&1","1","1","1","-1516.2641947434","-1516.2641947434","-1516.2641947434","-1516.27232186039","0","0","0.499226276677638","1.71656584739685","37","-1517.40767781917","-1516.28450380806","1","1","1","1"
"72","20d","ph10_1000obs.csv&1","1","1","1","-1516.40881404041","-1516.40881404041","-1516.40881404041","-1516.41056769766","0","0","0.498903635985721","0.188009023666382","1","-1516.42769895244","-1516.4249956179","1","1","1","1"
"73","2d","ph10_100obs.csv&1","1","1","14","-147.668819785799","-147.668819785799","-147.142724259748","-147.878282708882","0.0104396699841809","0.0104396699841809","0.506666164799883","0.376059055328369","113","-147.515598290482","-145.49637006376","1","1","1","1"
"74","5d","ph10_100obs.csv&1","1","1","26","-146.493913872907","-146.493913872907","-146.071875947282","-146.520314626075","0.008727927454776","0.008727927454776","0.492069575543688","0.196397066116333","55","-147.696005277832","-145.973558673092","1","1","1","1"
"75","10d","ph10_100obs.csv&1","1","1","10","-145.939273888762","-145.939273888762","-145.829279097808","-145.954792720617","0.0019051826329949","0.0019051826329949","0.49464905217051","0.572624206542969","47","-147.162897421144","-145.828868100729","1","1","1","1"
"76","20d","ph10_100obs.csv&1","1","1","6","-145.956840711809","-145.956840711809","-145.901742379245","-145.969530371932","0.000722795908431236","0.000722795908431236","0.498094138930333","3.44615197181702","43","-147.073230919486","-145.900263957814","1","1","1","1"
"77","2d","ph10_10obs.csv&1","1","1","1","-13.1750944043196","-13.1750944043196","-13.1750944043196","-13.1753903464875","0","0","0.494134240581222","0.00258708000183105","1","-13.2167163171171","-13.2106273950525","1","1","1","1"
"78","5d","ph10_10obs.csv&1","1","1","1","-13.1406092443976","-13.1406092443976","-13.1406092443976","-13.148673132503","0","0","0.497523970773194","0.00324487686157227","1","-13.1456644930891","-13.1377271379987","1","1","1","1"
"79","10d","ph10_10obs.csv&1","1","1","1","-12.8465674769741","-12.8465674769741","-12.8465674769741","-12.8553528804458","0","0","0.476008535005049","0.161465167999268","22","-13.0901869162906","-12.8499093432889","1","1","1","1"
"80","20d","ph10_10obs.csv&1","1","1","1","-12.8947890518642","-12.8947890518642","-12.8947890518642","-12.9038969396855","0","0","0.48277697612851","0.880057096481323","18","-13.1483083394604","-12.9110350736859","1","1","1","1"
"81","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2d","ph20_1000obs.csv&1","1","1","21","-1727.08654030859","-1727.08654030859","-1726.60728818713","-1727.14134155441","0.00315418458882937","0.00315418458882937","0.497855593940698","0.60055685043335","31","-1732.17629053287","-1726.82919732845","1","1","1","1"
"86","5d","ph20_1000obs.csv&1","1","1","1","-1725.94373169963","-1725.94373169963","-1725.94373169963","-1725.95226912877","0","0","0.502172091009331","0.0197720527648926","1","-1725.87738173978","-1725.87702063287","1","1","1","1"
"87","10d","ph20_1000obs.csv&1","1","1","6","-1726.11262234708","-1726.11262234708","-1726.05960404688","-1726.12472775233","0.000295350154716788","0.000295350154716788","0.502566486955913","2.51961994171143","57","-1728.66847809481","-1726.04617334957","1","1","1","1"
"88","20d","ph20_1000obs.csv&1","1","1","3","-1726.4429584392","-1726.4429584392","-1726.42296400283","-1726.45328863571","6.15510560081036e-05","6.15510560081036e-05","0.504300655484636","12.989865064621","64","-1727.77728545822","-1726.41187585879","1","1","1","1"
"89","2d","ph20_100obs.csv&1","1","1","1","-184.125843819967","-184.125843819967","-184.125843819967","-184.128576023739","0","0","0.50780265731241","0.0227649211883545","8","-184.293246080766","-184.122821334334","1","1","1","1"
"90","5d","ph20_100obs.csv&1","1","1","2","-184.0465414019","-184.0465414019","-184.036843046249","-184.058985004716","0.000533884589015879","0.000533884589015879","0.503729034036532","0.0424361228942871","11","-184.392070174818","-184.019777467139","1","1","1","1"
"91","10d","ph20_100obs.csv&1","1","1","1","-184.213162195653","-184.213162195653","-184.213162195653","-184.214019172582","0","0","0.502864613041926","0.0107719898223877","1","-184.21963609855","-184.218606085033","1","1","1","1"
"92","20d","ph20_100obs.csv&1","1","1","1","-184.395962896809","-184.395962896809","-184.395962896809","-184.399417516335","0","0","0.496689724162519","0.0874190330505371","1","-184.399409812237","-184.395830016783","1","1","1","1"
"93","2d","ph20_10obs.csv&1","1","1","6","-16.6831837913735","-16.6831837913735","-16.6247741419911","-16.7020045890231","0.00525422838711916","0.00525422838711916","0.508852827461207","0.0754659175872803","35","-18.5194403295681","-16.7340226089866","1","1","1","1"
"94","5d","ph20_10obs.csv&1","1","1","21","-18.0101579649507","-18.0101579649507","-16.594042459649","-18.1594634264919","0.0593201668024104","0.0593201668024104","0.510277534081246","0.107096910476685","24","-18.4391711476799","-16.454995192894","1","1","1","1"
"95","10d","ph20_10obs.csv&1","1","1","15","-17.7366039511006","-17.7366039511006","-16.44501541194","-17.9365937443461","0.0563355389730248","0.0563355389730248","0.512218500323555","0.123843908309937","14","-18.3673384581334","-16.433012776248","1","1","1","1"
"96","20d","ph20_10obs.csv&1","1","1","9","-16.7894273792584","-16.7894273792584","-16.4138241088758","-16.9367360163579","0.0286495496448376","0.0286495496448376","0.50497655405492","1.97638988494873","25","-18.6724761171016","-16.4240540699205","1","1","1","1"
"97","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2d","ph5_1000obs.csv&1","1","1","1","-1381.35996586717","-1381.35996586717","-1381.35996586717","-1381.36908002429","0","0","0.498755132363564","0.200062036514282","11","-1381.68021449065","-1381.38154072874","1","1","1","1"
"102","5d","ph5_1000obs.csv&1","1","1","16","-1381.82853017967","-1381.82853017967","-1381.57911597231","-1381.85736618997","0.0017352623809006","0.0017352623809006","0.503624842697348","0.271186828613281","12","-1381.75541938137","-1381.53418434571","1","1","1","1"
"103","10d","ph5_1000obs.csv&1","1","1","1","-1381.76564719983","-1381.76564719983","-1381.76564719983","-1381.77138030075","0","0","0.504394198443243","0.0407700538635254","1","-1381.75082098033","-1381.74648988096","1","1","1","1"
"104","20d","ph5_1000obs.csv&1","1","1","1","-1381.94501043206","-1381.94501043206","-1381.94501043206","-1381.94636262336","0","0","0.503883660989368","0.141974925994873","1","-1381.95724782505","-1381.95518277968","1","1","1","1"
"105","2d","ph5_100obs.csv&1","1","1","1","-131.802418553325","-131.802418553325","-131.802418553325","-131.805591897999","0","0","0.513144550890265","0.0981240272521973","22","-133.469386709671","-131.974784352342","1","1","1","1"
"106","5d","ph5_100obs.csv&1","1","1","1","-132.132460615003","-132.132460615003","-132.132460615003","-132.137609193019","0","0","0.520493386186013","0.031055212020874","9","-132.294166311355","-132.176705657572","1","1","1","1"
"107","10d","ph5_100obs.csv&1","1","1","1","-132.140027547345","-132.140027547345","-132.140027547345","-132.142833888237","0","0","0.516667352144104","0.00824093818664551","1","-132.152410513181","-132.148461032382","1","1","1","1"
"108","20d","ph5_100obs.csv&1","1","1","1","-132.128753060616","-132.128753060616","-132.128753060616","-132.129145237979","0","0","0.52143063338792","0.0450789928436279","1","-132.138373377778","-132.137273597107","1","1","1","1"
"109","2d","ph5_10obs.csv&1","1","1","11","-14.2861395593684","-14.2861395593684","-13.9733057187025","-14.3110385667118","0.039925884892838","0.039925884892838","0.51039401714588","0.0208251476287842","11","-14.2947699424205","-14.0086140136919","1","1","1","1"
"110","5d","ph5_10obs.csv&1","1","1","1","-14.0388286059235","-14.0388286059235","-14.0388286059235","-14.0476556925703","0","0","0.500179554016207","0.0134329795837402","5","-14.1170952956342","-14.0386422697239","1","1","1","1"
"111","10d","ph5_10obs.csv&1","1","1","3","-14.1155593977614","-14.1155593977614","-14.0952726873752","-14.1271251840313","0.00272333447075575","0.00272333447075575","0.493245279383674","0.0449450016021729","8","-14.2161626797246","-14.1106369123167","1","1","1","1"
"112","20d","ph5_10obs.csv&1","1","1","1","-14.3335726871205","-14.3335726871205","-14.3335726871205","-14.3401376790899","0","0","0.477757851086969","0.0340061187744141","1","-14.3554691517783","-14.3482354328631","1","1","1","1"
"113","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","2d","unif_1000obs.csv&1",NA,NA,"30",NA,NA,"-195.745858097324","-216.475773730917","0.531364476274233","0.531364476274233","0.531364476274233","0.974476099014282","54","-299.290944454158","-195.732697033712","0.2092","0.484","0.3427","0.484"
"118","5d","unif_1000obs.csv&1",NA,NA,"14",NA,NA,"-121.14666921857","-124.10344810687","0.514056910340034","0.514056910340034","0.514056910340034","25.013993024826","1126","-285.182689835385","-108.150210525039","0.2198","0.8619","0.7402","0.8063"
"119","10d","unif_1000obs.csv&1","1","1","6","-82.865261161669","-82.865261161669","-82.804325591553","-82.9075288638628","0.000633426975409939","0.000633426975409939","0.507275829594002","55.9464499950409","1501","-270.061320503413","-81.8733701773653","0.244","1","1","1"
"120","20d","unif_1000obs.csv&1","1","1","624","-80.4297580384059","-80.4297580384059","-71.0195467819146","-80.762146809698","0.00243000771038706","0.00243000771038706","0.505949143926929","1.57479716539383","1067","-292.802878200395","-74.54026374748","0.2145","1","1","1"
"121","2d","unif_100obs.csv&1","1","1","16","-19.1086749305942","-19.1086749305942","-18.0680853533521","-19.3986380481482","0.0117022133514097","0.0117022133514097","0.534402618296106","0.117369890213013","36","-26.6589471450079","-18.0043918953628","0.8657","1","1","1"
"122","5d","unif_100obs.csv&1","1","1","21","-10.0528360733715","-10.0528360733715","-9.14458793213473","-10.2504099745614","0.00481486123236232","0.00481486123236232","0.517532478112179","1.22898507118225","338","-26.4180682634197","-6.32556173192164","0.8763","1","1","1"
"123","10d","unif_100obs.csv&1","1","1","30","-4.93062026828237","-4.93062026828237","-4.52404280185072","-4.95621874476583","0.00233268857305779","0.00233268857305779","0.511823593179293","1.80406379699707","299","-27.1817098798277","-4.61879082245228","0.8411","1","1","1"
"124","20d","unif_100obs.csv&1","1","1","8","-3.6585926206686","-3.6585926206686","-3.5868824260494","-3.66943250434485","0.000454405446425583","0.000454405446425583","0.509873142604564","7.11036014556885","364","-28.1958945829897","-3.641449647461","0.8071","1","1","1"
"125","2d","unif_10obs.csv&1","1","1","7","-1.23232933263239","-1.23232933263239","-1.15139721678343","-1.25418790355192","0.00813106688221185","0.00813106688221185","0.531110679101168","0.0462641716003418","25","-1.87301266323939","-1.16260137551659","1","1","1","1"
"126","5d","unif_10obs.csv&1","1","1","4","-1.13839361401653","-1.13839361401653","-1.10791010029252","-1.15121155627652","0.00306125872938867","0.00306125872938867","0.529543462305167","0.054041862487793","28","-2.10339935704593","-1.08828391784909","1","1","1","1"
"127","10d","unif_10obs.csv&1","1","1","1","-1.08997299938595","-1.08997299938595","-1.08997299938595","-1.09978540036375","0","0","0.528099255297618","0.0853629112243652","30","-1.97139734104765","-1.09057802758257","1","1","1","1"
"128","20d","unif_10obs.csv&1","1","1","1","0.693821478182654","0.693821478182654","0.693821478182654","0.683842547510584","0","0","0.521803519732201","2.23509192466736","156","-2.05135913389876","0.681582521154909","1","1","1","1"
"129","2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","5d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","10d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","20d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
