"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
-3511.60251292286	-3058.65175171304	-2821.20464214574	-2665.50153118482	-2554.57872208394	-2471.56650401334	-2408.27286191349	-2358.47866292392	-2396.76270690927	-2325.15395246847	-2352.66777080914	-2412.04795740618	-2503.05280429692	-2543.44837440524	-2468.60735650242	-2570.33830090206	-2649.27643365752	-3414.02941698635	-2970.03781852377	-2784.9675079294
-3511.60251292286	-3058.65175171304	-2821.20464165734	-2665.50152310788	-2554.57872208269	-2471.56650399038	-2407.61796544837	-2357.52148414407	-2364.41441939085	-2313.44012840304	-2314.43052103968	-2360.46157706344	-2430.01881096931	-2409.32065468016	-2391.86059271846	-2427.62118634353	-2472.38629024493	-2883.28150703442	-2774.0214991535	-2682.98201570702
-3511.60251292286	-3058.65175171304	-2821.2046411363	-2665.50151485832	-2554.57872208159	-2471.56650397789	-2407.61467253114	-2357.50681446125	-2354.14873988581	-2301.50490151604	-2292.6313862423	-2316.24415888848	-2362.44244790342	-2338.66106248738	-2320.0084410274	-2337.62757021441	-2349.31207586164	-2624.93425835905	-2535.74044198862	-2481.69494196938
-3511.60251292286	-3058.65175171304	-2821.20464058452	-2665.50150655299	-2554.57872208064	-2471.56650396823	-2407.61466103404	-2357.50665786715	-2336.19518246069	-2289.25262513495	-2281.91777929684	-2286.21811153241	-2317.78383480391	-2299.61256544757	-2274.9299811247	-2291.76655113	-2274.12610968208	-2500.93631622096	-2391.58002609679	-2408.74012765975
-3511.60251292286	-3058.65175171304	-2821.20464000403	-2665.50149830919	-2554.57872207984	-2471.56650396096	-2407.614661005	-2357.50665476393	-2318.81513053103	-2286.69019818911	-2271.59802237319	-2269.60645910067	-2289.51921705888	-2281.0147198367	-2247.41044516235	-2264.90766960421	-2246.1612897534	-2389.59584660954	-2314.47240120948	-2337.35906958962
-3511.60251292286	-3058.65175171304	-2821.20463939699	-2665.50149024057	-2554.57872207917	-2471.56650395564	-2407.61466100493	-2357.50665354246	-2317.91883778713	-2286.55484132443	-2263.44856705498	-2258.63719377698	-2272.48582646342	-2266.76595252254	-2229.78505820917	-2247.25687639842	-2226.3367739712	-2320.59482902166	-2269.60450360187	-2290.10797268964
-3511.60251292286	-3058.65175171304	-2821.20463876566	-2665.5014824529	-2554.57872207863	-2471.56650395187	-2407.61466100493	-2357.5066528204	-2317.90692002076	-2286.5501946213	-2261.94116619625	-2248.00626999891	-2261.83916033705	-2250.31152457522	-2221.28769303874	-2228.55054977385	-2212.66284679927	-2282.23664905493	-2242.53346489223	-2255.25177725196
-3511.60251292286	-3058.65175171304	-2821.2046381124	-2665.50147504013	-2554.5787220782	-2471.56650394926	-2407.61466100493	-2357.50665240797	-2317.90678389128	-2286.55006588405	-2261.66887650371	-2242.23620319631	-2256.81918155838	-2236.63986658046	-2215.75907086514	-2215.14474439739	-2204.87680335379	-2256.72395696071	-2222.5747023658	-2227.53272949406
-3511.60251292286	-3058.65175171304	-2821.20463743967	-2665.50146808099	-2554.57872207786	-2471.5665039475	-2407.61466100493	-2357.50665218134	-2317.90677095446	-2286.55006297918	-2261.65668035572	-2241.37662271907	-2247.84032400215	-2227.0176460341	-2211.99523331427	-2205.38353426501	-2201.49382690748	-2237.71602013846	-2209.5452617072	-2210.73423145885
-3511.60251292286	-3058.65175171304	-2821.20463674999	-2665.50146163662	-2554.5787220776	-2471.56650394635	-2407.61466100493	-2357.50665206146	-2317.90676437028	-2286.550062915	-2261.65642991806	-2241.30879611775	-2233.19426623663	-2219.69241532295	-2209.88679999396	-2199.23341102055	-2199.83661175385	-2226.75203204381	-2201.96846443275	-2201.56439195731
-3511.60251292286	-3058.65175171304	-2821.20463604598	-2665.50145574923	-2554.57872207741	-2471.56650394562	-2407.61466100493	-2357.50665200042	-2317.90676093551	-2286.55006290689	-2261.65642119061	-2241.3044567197	-2226.13786176366	-2214.06262349846	-2207.63719996954	-2195.68755740387	-2198.04052952214	-2220.54914219092	-2196.94965240928	-2195.20687809166
-3511.60251292286	-3058.65175171304	-2821.20463533026	-2665.50145044198	-2554.57872207727	-2471.56650394517	-2407.61466100493	-2357.50665197048	-2317.90675921142	-2286.55006290244	-2261.656420934	-2241.3042159003	-2225.04509537028	-2211.84838355774	-2204.68670668514	-2193.77195381927	-2196.34139879003	-2214.47219787569	-2193.54401270772	-2190.96341746012
-3511.60251292286	-3058.65175171304	-2821.20463460551	-2665.50144571998	-2554.57872207716	-2471.56650394489	-2407.61466100493	-2357.50665195633	-2317.90675837812	-2286.55006289983	-2261.65642092436	-2241.30420425464	-2224.9393375201	-2211.38679977865	-2202.36524734715	-2192.7566664448	-2194.65560694695	-2208.6922789153	-2191.57497080967	-2187.51518184527
-3511.60251292286	-3058.65175171304	-2821.20463387443	-2665.5014415722	-2554.57872207709	-2471.56650394473	-2407.61466100493	-2357.50665194989	-2317.90675798998	-2286.55006289833	-2261.65642092198	-2241.30420374457	-2224.9306192367	-2211.32049715891	-2200.94747558246	-2192.43347411656	-2193.21669613702	-2203.4928796585	-2190.02666633099	-2184.99614382509
-3511.60251292286	-3058.65175171304	-2821.20463313968	-2665.50143797413	-2554.57872207703	-2471.56650394464	-2407.61466100493	-2357.50665194707	-2317.90675781565	-2286.5500628975	-2261.65642092056	-2241.30420369471	-2224.92997649589	-2211.31228161325	-2200.66709861646	-2192.35043275337	-2192.19478610721	-2198.10292718341	-2188.56333461037	-2182.79577375638
-3511.60251292286	-3058.65175171304	-2821.20463240393	-2665.50143489071	-2554.578722077	-2471.56650394459	-2407.61466100493	-2357.50665194588	-2317.90675774014	-2286.55006289705	-2261.65642091971	-2241.30420364496	-2224.92993401375	-2211.31135371957	-2200.61778093667	-2192.32902995108	-2191.33619386279	-2193.70780772516	-2186.15637133458	-2181.43524371658
-3511.60251292286	-3058.65175171304	-2821.20463166979	-2665.50143227945	-2554.57872207698	-2471.56650394456	-2407.61466100493	-2357.50665194539	-2317.90675770858	-2286.55006289681	-2261.65642091919	-2241.30420356821	-2224.92993149663	-2211.31125765631	-2200.60953070836	-2192.32369556561	-2190.32169143674	-2190.47472237814	-2184.67507587457	-2180.58508738333
-3511.60251292286	-3058.65175171304	-2821.2046309398	-2665.50143009334	-2554.57872207696	-2471.56650394454	-2407.61466100493	-2357.5066519452	-2317.90675769585	-2286.55006289669	-2261.65642091889	-2241.30420344679	-2224.92993136219	-2211.31124854061	-2200.60824739595	-2192.32243167087	-2189.05576605217	-2188.04109000271	-2183.52008118615	-2180.00934062415
-3511.60251292286	-3058.65175171304	-2821.20463021644	-2665.50142828352	-2554.57872207695	-2471.56650394453	-2407.61466100493	-2357.50665194513	-2317.9067576909	-2286.55006289663	-2261.65642091872	-2241.30420325196	-2224.92993134858	-2211.31124774784	-2200.60806109375	-2192.32214796	-2187.75502365959	-2186.82525063669	-2182.64917620492	-2179.60330109455
-3511.60251292286	-3058.65175171304	-2821.20462950204	-2665.50142680141	-2554.57872207694	-2471.56650394453	-2407.61466100493	-2357.5066519451	-2317.90675768905	-2286.5500628966	-2261.65642091863	-2241.30420293486	-2224.92988865249	-2211.31124768466	-2200.60803585108	-2192.32208765329	-2186.78546665819	-2186.4095324248	-2182.07629968091	-2179.31152867618
-3511.60251292286	-3058.65175171304	-2821.20462879887	-2665.50142560043	-2554.57872207694	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768837	-2286.55006289659	-2261.65642091858	-2241.30420241139	-2224.69337077189	-2211.31124768004	-2200.60803265937	-2192.32207551571	-2186.31522747929	-2186.26226539563	-2181.75137142981	-2179.10099690085
-3511.60251292286	-3058.65175171304	-2821.20462810901	-2665.50142463723	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768813	-2286.55006289658	-2261.65642091855	-2241.3042015348	-2224.57826988405	-2211.31124767974	-2200.60803228278	-2192.32207320269	-2186.14990792508	-2186.21072028302	-2181.58694526018	-2178.87106555611
-3511.60251292286	-3058.65175171304	-2821.20462743444	-2665.50142387247	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768805	-2286.55006289658	-2261.65642091853	-2241.30420004579	-2224.57826108764	-2211.31124767972	-2200.60803224132	-2192.32207278533	-2186.10039952877	-2186.18999420363	-2181.50780570774	-2178.40849557208
-3511.60251292286	-3058.65175171304	-2821.20462677694	-2665.50142327121	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768803	-2286.55006289658	-2261.65642091853	-2241.30419748018	-2224.57825890148	-2211.31124767971	-2200.60803223706	-2192.32207271401	-2186.08661847982	-2186.17673473504	-2181.4646573214	-2178.22292696663
-3511.60251292286	-3058.65175171304	-2821.20462613813	-2665.50142280302	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.30419299646	-2224.57825656117	-2211.31124767971	-2200.60803223665	-2192.32207270247	-2186.08287680987	-2186.15773725137	-2181.43371404617	-2178.15396701994
-3511.60251292286	-3058.65175171304	-2821.20462551944	-2665.5014224419	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.30418505043	-2224.57825405354	-2211.31124767971	-2200.60803223662	-2192.32207270071	-2186.08184668454	-2186.08931666925	-2181.41459412033	-2178.11913558539
-3511.60251292286	-3058.65175171304	-2821.20462492213	-2665.50142216595	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.30417077684	-2224.57825136728	-2211.31124767971	-2200.60803223662	-2192.32207270045	-2186.08154226876	-2185.97543928667	-2181.40634670917	-2178.0970461797
-3511.60251292286	-3058.65175171304	-2821.20462434725	-2665.50142195701	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.30414481035	-2224.57824849045	-2211.31124767971	-2200.60803223661	-2192.32207270041	-2186.08143795536	-2185.87449088429	-2181.40339641492	-2178.08056468392
-3511.60251292286	-3058.65175171304	-2821.20462379567	-2665.50142180024	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.30409705043	-2224.57824541052	-2211.31124767972	-2200.60803223661	-2192.32207270041	-2186.08139432874	-2185.71122244012	-2181.40242272297	-2178.06857367112
-3511.60251292286	-3058.65175171304	-2821.20462326806	-2665.50142168367	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.3040085215	-2224.57824211443	-2211.31124767971	-2200.60803223661	-2192.32207270041	-2186.08137258206	-2185.37627591042	-2181.40211566784	-2178.06133934701
-3511.60251292286	-3058.65175171304	-2821.20462276491	-2665.50142159777	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.30384415919	-2224.57823858858	-2211.31124767971	-2200.60803223662	-2192.3220727004	-2186.08136050374	-2184.70607395847	-2181.40202187733	-2178.05756059265
-3511.60251292286	-3058.65175171304	-2821.20462228652	-2665.50142153502	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.3035420389	-2224.57823481895	-2211.31124767971	-2200.60803223661	-2192.32207270041	-2186.08135343048	-2183.64779287697	-2181.40199378023	-2178.05559759463
-3511.60251292286	-3058.65175171304	-2821.20462183304	-2665.50142148958	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.30300363595	-2224.57823079119	-2211.31124767971	-2200.60803223662	-2192.32207270041	-2186.08134919154	-2182.57167970235	-2181.40198526588	-2178.05440597386
-3511.60251292286	-3058.65175171304	-2821.20462140442	-2665.50142145697	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.30210539495	-2224.57822649071	-2211.31124767971	-2200.60803223661	-2192.32207270041	-2186.08134662774	-2181.89922448946	-2181.40198240037	-2178.05346024774
-3511.60251292286	-3058.65175171304	-2821.20462100048	-2665.50142143377	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.30077077986	-2224.57822190285	-2211.31124767971	-2200.60803223661	-2192.32207270041	-2186.08134507299	-2181.60654351461	-2181.40198110053	-2178.05251054126
-3511.60251292286	-3058.65175171304	-2821.2046206209	-2665.5014214174	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29909739458	-2224.57821701308	-2211.31124767971	-2200.60803223661	-2192.32207270041	-2186.08134413098	-2181.50352229564	-2181.40198020423	-2178.05142382921
-3511.60251292286	-3058.65175171304	-2821.20462026522	-2665.50142140597	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.2973852148	-2224.57821180721	-2211.31124767971	-2200.60803223661	-2192.32207270041	-2186.08134356199	-2181.47104865295	-2181.40197938932	-2178.05010464893
-3511.60251292286	-3058.65175171304	-2821.20461993289	-2665.50142139803	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29594764971	-2224.57820627167	-2211.31124767972	-2200.60803223661	-2192.32207270041	-2186.08134321994	-2181.46137189942	-2181.40197856804	-2178.04845371132
-3511.60251292286	-3058.65175171304	-2821.20461962323	-2665.50142139257	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29491927853	-2224.57820039381	-2211.31124767969	-2200.60803223661	-2192.32207270041	-2186.08134301554	-2181.4585866348	-2181.40197771607	-2178.04634220354
-3511.60251292286	-3058.65175171304	-2821.20461933549	-2665.50142138886	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29426278057	-2224.57819416223	-2211.31124767947	-2200.60803223662	-2192.32207270041	-2186.08134289424	-2181.45780729365	-2181.40197682565	-2178.04358525725
-3511.60251292286	-3058.65175171304	-2821.20461906885	-2665.50142138635	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29387418271	-2224.57818756722	-2211.31124767687	-2200.60803223661	-2192.32207270041	-2186.08134282282	-2181.45759498441	-2181.40197589318	-2178.03990446372
-3511.60251292286	-3058.65175171304	-2821.20461882243	-2665.50142138467	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29365527593	-2224.57818060118	-2211.31124764489	-2200.60803223662	-2192.32207270041	-2186.08134278111	-2181.45753861659	-2181.40197491594	-2178.03486558264
-3511.60251292286	-3058.65175171304	-2821.2046185953	-2665.50142138355	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29353602354	-2224.57817325905	-2211.31124723183	-2200.60803223662	-2192.32207270041	-2186.08134275698	-2181.45752367975	-2181.4019738913	-2178.02776831838
-3511.60251292286	-3058.65175171304	-2821.2046183865	-2665.50142138281	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29347261065	-2224.57816553887	-2211.31124163512	-2200.60803223661	-2192.32207270041	-2186.08134274314	-2181.45751670669	-2181.40197281647	-2178.0174434839
-3511.60251292286	-3058.65175171304	-2821.20461819506	-2665.50142138233	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29343952221	-2224.5781574422	-2211.31116220162	-2200.60803223662	-2192.32207270041	-2186.08134273528	-2181.45748628363	-2181.4019716885	-2178.00186823985
-3511.60251292286	-3058.65175171304	-2821.20461801998	-2665.50142138202	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29342253103	-2224.57814897468	-2211.31001048851	-2200.60803223662	-2192.32207270041	-2186.08134273085	-2181.45721370577	-2181.40197050418	-2177.97742180178
-3511.60251292286	-3058.65175171304	-2821.20461786027	-2665.50142138182	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29341393095	-2224.57814014645	-2211.29754698869	-2200.60803223662	-2192.32207270041	-2186.08134272838	-2181.45472627816	-2181.40196926004	-2177.93744978367
-3511.60251292286	-3058.65175171304	-2821.20461771495	-2665.50142138169	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340963679	-2224.57813097259	-2211.26895202812	-2200.60803223662	-2192.32207270041	-2186.08134272701	-2181.43876646031	-2181.40196795235	-2177.8696597694
-3511.60251292286	-3058.65175171304	-2821.20461758306	-2665.50142138161	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340752065	-2224.57812147342	-2211.257987263	-2200.60803223661	-2192.32207270041	-2186.08134272626	-2181.41254913272	-2181.40196657707	-2177.75234569586
-3511.60251292286	-3058.65175171304	-2821.20461746364	-2665.50142138156	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.2934064912	-2224.57811167473	-2211.25535919565	-2200.60803223661	-2192.32207270041	-2186.08134272584	-2181.4038384442	-2181.40196512979	-2177.5530190498
-3511.60251292286	-3058.65175171304	-2821.20461735579	-2665.50142138153	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340599677	-2224.57810160789	-2211.25469597275	-2200.60803223661	-2192.32207270041	-2186.08134272561	-2181.40230010126	-2181.40196360576	-2177.24320959604
-3511.60251292286	-3058.65175171304	-2821.20461725861	-2665.50142138151	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.2934057623	-2224.57809130974	-2211.25451505399	-2200.60803223662	-2192.32207270041	-2186.08134272548	-2181.40206093935	-2181.4019619998	-2176.84323186648
-3511.60251292286	-3058.65175171304	-2821.20461717127	-2665.5014213815	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340565251	-2224.5780808223	-2211.25445123754	-2200.60803223662	-2192.32207270041	-2186.08134272539	-2181.4020254218	-2181.40196030628	-2176.44718049855
-3511.60251292286	-3058.65175171304	-2821.20461709295	-2665.5014213815	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340560174	-2224.57807019238	-2211.25441060206	-2200.60803223662	-2192.32207270041	-2186.08134272534	-2181.40202031723	-2181.40195851906	-2176.14956868835
-3511.60251292286	-3058.65175171304	-2821.20461702289	-2665.50142138149	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340557857	-2224.57805947088	-2211.25436741026	-2200.60803223662	-2192.32207270041	-2186.08134272529	-2181.40201960599	-2181.40195663143	-2175.97046412248
-3511.60251292286	-3058.65175171304	-2821.20461696037	-2665.50142138149	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340556812	-2224.57804871193	-2211.25431294465	-2200.60803223661	-2192.32207270041	-2186.08134272525	-2181.40201950991	-2181.40195463606	-2175.87808807528
-3511.60251292286	-3058.65175171304	-2821.20461690469	-2665.50142138149	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340556347	-2224.57803797191	-2211.25424247069	-2200.60803223661	-2192.32207270041	-2186.08134272521	-2181.40201949733	-2181.40195252494	-2175.83499606987
-3511.60251292286	-3058.65175171304	-2821.20461685523	-2665.50142138148	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340556143	-2224.57802730833	-2211.25415226827	-2200.60803223661	-2192.32207270041	-2186.08134272517	-2181.40201949573	-2181.40195028925	-2175.81609947668
-3511.60251292286	-3058.65175171304	-2821.2046168114	-2665.50142138148	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340556054	-2224.57801677852	-2211.25403948104	-2200.60803223661	-2192.32207270041	-2186.08134272512	-2181.40201949553	-2181.40194791933	-2175.80810671193
-3511.60251292286	-3058.65175171304	-2821.20461677263	-2665.50142138148	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340556016	-2224.57800643846	-2211.25390292913	-2200.60803223662	-2192.32207270041	-2186.08134272507	-2181.40201949551	-2181.40194540453	-2175.80479478149
-3511.60251292286	-3058.65175171304	-2821.20461673844	-2665.50142138148	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340556	-2224.5779963415	-2211.25374423665	-2200.60803223662	-2192.32207270041	-2186.08134272501	-2181.4020194955	-2181.4019427331	-2175.80343788351
-3511.60251292286	-3058.65175171304	-2821.20461670832	-2665.50142138148	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340555993	-2224.57798653723	-2211.25356868309	-2200.60803223662	-2192.32207270041	-2186.08134272494	-2181.4020194955	-2181.40193989207	-2175.80288465433
-3511.60251292286	-3058.65175171304	-2821.20461668188	-2665.50142138148	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.2934055599	-2224.57797707044	-2211.25338509761	-2200.60803223662	-2192.32207270041	-2186.08134272486	-2181.4020194955	-2181.40193686706	-2175.80265896968
-3511.60251292286	-3058.65175171304	-2821.20461665871	-2665.50142138149	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340555989	-2224.57796798035	-2211.25320440097	-2200.60803223661	-2192.32207270041	-2186.08134272477	-2181.4020194955	-2181.4019336421	-2175.80256624087
-3511.60251292286	-3058.65175171304	-2821.20461663844	-2665.50142138149	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340555989	-2224.57795929989	-2211.25303715877	-2200.60803223662	-2192.32207270041	-2186.08134272466	-2181.4020194955	-2181.40193019947	-2175.80252765259
-3511.60251292286	-3058.65175171304	-2821.20461662075	-2665.50142138148	-2554.57872207693	-2471.56650394453	-2407.61466100493	-2357.50665194509	-2317.90675768802	-2286.55006289658	-2261.65642091852	-2241.29340555989	-2224.57795105542	-2211.25289121883	-2200.60803223661	-2192.32207270041	-2186.08134272454	-2181.40201949551	-2181.40192651936	-2175.80251130853
